kg/ha,contcorn,cornsoy,miscanthus,switchgrass,sorghum,cane,fallow,CRP
103,201.0,173.0,33.99999999999999,94.00000000000004,33.99999999999999,33.99999999999999,0,0
104,201.0,173.0,34.0,94.0,34.0,34.0,0,0
105,201.0,173.00000000000009,34.0,94.0,34.0,34.0,0,0
106,201.0,173.0,34.0,94.0,34.0,34.0,0,0
107,201.0,173.0,34.0,94.0,34.0,34.0,0,0
108,201.0,173.0,34.0,94.0,34.0,34.0,0,0
109,201.0,173.0,34.0,94.0,34.0,34.0,0,0
110,201.0,173.0,34.0,94.0,34.0,34.0,0,0
111,201.0,173.0,34.0,94.0,34.0,34.0,0,0
112,201.0,173.0,34.0,94.0,34.0,34.0,0,0
113,201.0,172.99999999999991,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
114,201.0,173.00000000000009,34.0,94.0,34.0,34.0,0,0
115,201.0,173.0,34.0,94.0,34.0,34.0,0,0
116,201.0,173.0,34.0,94.0,34.0,34.0,0,0
117,201.0,173.0,34.0,94.0,34.0,34.0,0,0
118,201.0,172.99999999999991,33.99999999999999,94.00000000000004,33.99999999999999,33.99999999999999,0,0
119,201.0,172.99999999999991,34.0,94.0,34.0,34.0,0,0
120,201.0,172.99999999999991,34.0,94.0,34.0,34.0,0,0
121,201.0,173.0,34.0,94.0,34.0,34.0,0,0
122,201.0,173.00000000000009,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
123,201.0,173.0,34.0,94.0,34.0,34.0,0,0
124,201.0,173.00000000000009,34.0,94.0,34.0,34.0,0,0
125,201.0,173.0,34.0,94.00000000000004,34.0,34.0,0,0
126,201.0,173.0,34.0,94.0,34.0,34.0,0,0
127,201.00000000000009,173.0,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
128,201.0,172.99999999999991,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
129,201.0,173.0,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
130,201.0,173.0,34.0,94.00000000000004,34.0,34.0,0,0
131,201.0,172.99999999999991,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
132,201.00000000000009,173.0,34.0,94.0,34.0,34.0,0,0
133,201.0,173.0,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
134,201.0,173.0,34.0,94.0,34.0,34.0,0,0
135,201.0,173.0,34.0,94.0,34.0,34.0,0,0
136,201.00000000000009,172.99999999999991,34.0,93.99999999999996,34.0,34.0,0,0
137,201.0,173.0,34.0,94.0,34.0,34.0,0,0
138,201.0,173.00000000000009,34.0,94.0,34.0,34.0,0,0
139,201.0,172.99999999999991,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
140,201.0,173.0,34.0,94.0,34.0,34.0,0,0
141,201.0,173.0,34.0,94.0,34.0,34.0,0,0
142,201.0,172.99999999999991,34.0,94.0,34.0,34.0,0,0
143,201.0,173.0,34.0,94.0,34.0,34.0,0,0
144,201.0,173.0,34.0,94.0,34.0,34.0,0,0
145,201.0,173.0,34.0,94.0,34.0,34.0,0,0
146,201.0,173.00000000000009,34.0,94.0,34.0,34.0,0,0
147,201.0,172.99999999999991,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
148,201.0,173.0,34.0,94.0,34.0,34.0,0,0
149,201.0,173.0,34.0,94.0,34.0,34.0,0,0
150,201.0,173.0,34.0,94.0,34.0,34.0,0,0
151,201.0,173.0,34.0,94.0,34.0,34.0,0,0
152,201.0,173.0,34.0,94.0,34.0,34.0,0,0
153,201.0,173.0,34.0,94.0,34.0,34.0,0,0
154,201.0,173.0,34.0,94.0,34.0,34.0,0,0
155,201.0,173.0,34.0,94.0,34.0,34.0,0,0
156,201.0,173.0,34.0,94.0,34.0,34.0,0,0
157,201.0,173.0,34.0,94.00000000000004,34.0,34.0,0,0
158,201.0,173.0,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
159,201.0,172.99999999999991,34.0,94.0,34.0,34.0,0,0
160,201.0,172.99999999999991,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
161,201.0,173.0,34.0,94.0,34.0,34.0,0,0
162,201.0,173.0,34.0,94.00000000000004,34.0,34.0,0,0
163,201.0,173.0,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
164,201.0,173.0,34.0,94.0,34.0,34.0,0,0
165,201.0,173.0,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
166,201.0,173.0,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
167,201.0,173.0,34.0,94.0,34.0,34.0,0,0
168,201.0,172.99999999999991,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
169,201.0,173.0,34.0,94.0,34.0,34.0,0,0
170,201.0,173.0,34.0,94.0,34.0,34.0,0,0
171,201.0,173.0,34.0,94.0,34.0,34.0,0,0
172,201.0,173.0,34.0,94.0,34.0,34.0,0,0
173,201.0,173.0,34.0,94.0,34.0,34.0,0,0
174,201.0,173.0,34.0,94.0,34.0,34.0,0,0
175,201.0,173.0,34.0,94.00000000000004,34.0,34.0,0,0
176,201.0,173.0,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
177,201.0,173.00000000000009,34.0,94.00000000000004,34.0,34.0,0,0
178,201.0,173.0,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
179,201.0,173.0,34.0,94.0,34.0,34.0,0,0
180,201.0,173.0,34.0,94.0,34.0,34.0,0,0
181,201.0,173.0,34.0,94.0,34.0,34.0,0,0
182,201.0,173.0,34.0,94.0,34.0,34.0,0,0
183,201.0,173.0,34.0,94.0,34.0,34.0,0,0
184,201.0,172.99999999999991,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
185,201.0,173.0,34.0,94.0,34.0,34.0,0,0
186,201.0,173.00000000000009,34.0,94.00000000000004,34.0,34.0,0,0
187,201.0,173.0,34.0,94.0,34.0,34.0,0,0
188,201.0,173.0,34.0,94.0,34.0,34.0,0,0
189,201.0,173.0,34.0,94.0,34.0,34.0,0,0
190,201.0,173.0,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
191,201.0,172.99999999999991,34.0,94.0,34.0,34.0,0,0
192,201.00000000000009,173.00000000000009,34.0,94.0,34.0,34.0,0,0
193,201.0,173.0,34.0,94.0,34.0,34.0,0,0
194,201.0,173.0,34.0,94.0,34.0,34.0,0,0
195,201.0,173.0,34.0,94.0,34.0,34.0,0,0
196,201.0,172.99999999999991,34.0,94.0,34.0,34.0,0,0
197,201.0,173.0,34.0,94.0,34.0,34.0,0,0
198,201.0,173.0,34.0,94.0,34.0,34.0,0,0
199,201.0,172.99999999999991,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
200,201.0,173.0,34.0,94.0,34.0,34.0,0,0
201,201.0,172.99999999999991,34.0,94.0,34.0,34.0,0,0
202,201.0,173.0,34.0,94.0,34.0,34.0,0,0
203,201.0,173.0,34.0,94.0,34.0,34.0,0,0
204,201.0,173.0,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
205,201.0,173.0,34.0,94.00000000000004,34.0,34.0,0,0
206,201.0,173.0,34.0,94.0,34.0,34.0,0,0
207,201.0,173.0,34.0,94.0,34.0,34.0,0,0
208,201.0,172.99999999999991,34.0,94.0,34.0,34.0,0,0
209,201.0,173.0,34.0,94.0,34.0,34.0,0,0
210,201.0,173.0,34.0,94.0,34.0,34.0,0,0
211,201.0,173.0,34.0,94.0,34.0,34.0,0,0
212,201.0,173.0,34.0,94.00000000000004,34.0,34.0,0,0
213,201.0,173.0,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
214,201.0,173.0,34.0,94.0,34.0,34.0,0,0
215,201.0,173.0,34.0,94.00000000000004,34.0,34.0,0,0
216,201.0,173.00000000000009,33.99999999999999,94.00000000000004,33.99999999999999,33.99999999999999,0,0
217,201.0,173.0,34.0,94.0,34.0,34.0,0,0
218,201.0,173.0,34.0,94.0,34.0,34.0,0,0
219,201.0,173.00000000000009,34.0,94.0,34.0,34.0,0,0
220,201.0,173.00000000000009,34.0,94.00000000000004,34.0,34.0,0,0
221,201.0,173.00000000000009,34.0,94.00000000000004,34.0,34.0,0,0
222,201.0,173.0,34.0,94.00000000000004,34.0,34.0,0,0
223,201.0,172.99999999999991,33.99999999999999,94.0,33.99999999999999,33.99999999999999,0,0
